== canon loaded from SKILL.md ==
  gate_question      'Freeze this contract and execute, or keep negotiating?'
  frozen_executing   'Contract frozen. Executing.'
  failed_reopened    'Failed on [item]. Contract reopened.'
  cut_nothing        'Cut: nothing.'
  assay_close        'This is a finding, not a draft.'
  floor nouns        Audience, Scope, Format, Path

== battery: 1 models x 18 probes x n=25, budget $1.00 ==
workers: 6

OK   P3         openai/gpt-5.6-luna                    r3 -  $0.1152  [256/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r8 -  $0.1154  [257/450, ~3m left]
FAIL P3         openai/gpt-5.6-luna                    r5 -  $0.1158  [258/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r6 -  $0.1163  [259/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r11 -  $0.1165  [260/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r9 -  $0.1168  [261/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r13 -  $0.1170  [262/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r10 -  $0.1174  [263/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r16 -  $0.1176  [264/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r12 -  $0.1180  [265/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r14 -  $0.1188  [266/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r17 -  $0.1190  [267/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r20 -  $0.1193  [268/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r18 -  $0.1195  [269/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r19 -  $0.1199  [270/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r15 -  $0.1203  [271/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r21 -  $0.1206  [272/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r22 -  $0.1208  [273/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r24 -  $0.1210  [274/450, ~3m left]
OK   P3         openai/gpt-5.6-luna                    r23 -  $0.1212  [275/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r1 -  $0.1214  [276/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r0 -  $0.1218  [277/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r3 -  $0.1222  [278/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r4 -  $0.1225  [279/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r2 -  $0.1230  [280/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r6 -  $0.1233  [281/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r10 -  $0.1241  [282/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r5 -  $0.1241  [283/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r11 -  $0.1243  [284/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r8 -  $0.1248  [285/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r9 -  $0.1251  [286/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r7 -  $0.1257  [287/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r12 -  $0.1259  [288/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r15 -  $0.1260  [289/450, ~3m left]
FAIL P4         openai/gpt-5.6-luna                    r14 -  $0.1263  [290/450, ~3m left]
OK   P4         openai/gpt-5.6-luna                    r13 -  $0.1266  [291/450, ~2m left]
FAIL P4         openai/gpt-5.6-luna                    r17 -  $0.1269  [292/450, ~2m left]
FAIL P4         openai/gpt-5.6-luna                    r16 -  $0.1273  [293/450, ~2m left]
